name,district,Province Project,province,type,lat,long,gender,startDate,Start Date,startYear,peakImpYear,status,bricks,houses,2016,2017,2018,2019,2020,2021,Schools,co2,jobsProduction,jobsConstruction,jobs,Last updated,Description
Earth Brick training in Karki Gaun,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9999848,85.1725618,Male,Feb.16,01.02.16,2018,2019,Project,11000,4.4,,,,4.4,,,1,33.33,,,0,,"In Karki Gaun, Nuwakot the villagers have learned to make their own bricks. We served as the training and machine partner in this village. "
Arjun Khatiwada,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.81973917,84.99162816,Male,Feb.18,01.02.18,2018,2019,Running,53000,21,,,,7,7,7,,160.59,4,6,10,03.01.21,Arjun got introduced to CSEB when Build up Nepal together with an NGO built a Community Center i his village. He saw an opportunity and started his enterprise to make some extra money as the investment was very low and this could be done in his own land with local materials. Soon the demand went up and decided to make CSEB his primary occupation to support his family. He is planning to ask his son to join him in the business after he is back from foreign employment.
Bhairab Pyakurel,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.9043554,85.1531216,Male,Nov.16,01.11.16,2018,2019,Struggling,32000,13,,,,4,4,4,,96.96,0,2,2,03.01.21,
Bhabanath Chaulagain,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.82562944,85.57990152,Male,Oct.17,01.10.17,2017,2018,Struggling,25000,10,,,2,2,3,3,,75.75,,2,2,2/28/2021,"Bhabanath still runs a grocery shop/ Gas station in Kathmandu and decided to invest in the business together with his partner Navaraj. Navaraj is running the operations and Bhabanath is the investor with very little involvement in day-to-day operations. During the reconstruction period, the business flourished as the demand was huge in the area. As they were the first commercial entrepreneurs in the district, they faced a lot of challenges from the government but due to support from Build up Nepal and Practical action they have been able to build a good business."
Ravi gurung,Kaski,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.1520549,84.0629919,Male,Jun.18,01.06.18,2018,2019,Closed / Sold,17000,7,,,,7,,,,51.51,,2,2,2/25/2021,"Ravi Gurung and his wife started this business, after Ravi decided to quit his regular job as a factory worker and concentrate on this enterprise full time. Ravi experienced a lot of problems in the beginning with the machine and demand. After the reconstruction he decided to sell his enterprise. "
Shyam Sundar Shrestha,Kathmandu,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.7467846,85.5097226,Male,Mar.18,01.03.18,2018,2019,Running,492000,197,,,,49,49,99,,1490.76,10,154,164,03.04.21,"Shyam has started CSEB factory just after the earthquake with the help of an NGO. As the demand increased, he added new machine from Build up nepal. he has been operation factories at 2 different location and has got 4 machines in total."
Muna Dahal,Sankhuwasabha,Province 1,Province No. 1,Female Entrepreneur,27.2984893,87.3287963,Female,Jan.19,01.01.19,2019,2020,"Project, Running",40000,16,,,,,8,8,4,121.2,5,7,12,2/21/2021,This husband wife duo bought the machine from one of our previous entrepreneurs. Muna Dahal works in a bank and works part time in the business while Santosh runs the day-to-day operations. They have also made a restaurant in Pokhara area with CSEB and run that on the side. 
Guna Ratna Magar,Udayapur,Province 1,Province No. 1,Entrepreneur,26.7807011,86.6409554,Male,Jul.19,01.07.19,2019,2020,Running,20000,8,,,,,4,4,,60.6,4,4,8,2/21/2021,Guna Ratna Magar was unemployed and did try a few different professions before settling on to establish his CSEB enterprise. His older Brother supported him financially to procure the machine and the arrange for the startup fund before handing it over to Guna to run it independently. Guna feels like this is a second opportunity for him to do well after struggling with alcohol abuse. 
Dipendra Wagle,Parsa,Province 2,Madhesh Province,Entrepreneur,27.0449005,84.8672171,Male,Jan.18,01.01.18,2018,2019,Running,170000,68,,,,23,23,23,,515.1,6,18,24,03.01.21,"Dipendra is a teacher and still teaches grade 8, 9 and 10. He decided to invest in his brother in law's business and soon decided to start a factory at a different location. Dipendra has two daughters and his wife also helps him out in the business doing small procurements and sales"
Manju Pun,Surkhet,Province 6 - Karnali,Karnali Province,Husband wife,28.4050728,81.8276544,Male & Female,Nov.18,01.11.18,2018,2019,Running,300000,120,,,,40,40,40,,909,7,43,50,2/22/2021,"Manju and her husband were running a hardware shop and because of their networking in the construction sector, they saw a good scope for CSEB bricks in the area and established their enterprise. Manju and her husband are full time working to run both the CSEB enterprise and their hardware store. "
Nara bahadur BK,Sunsari,Province 1,Province No. 1,Returning Migrant,26.8275705,87.1722037,Male,Aug.18,01.08.18,2018,2019,Running,82000,33,,,,11,11,11,,248.46,6,10,16,2/21/2021,"Nara was Interested in Construction and as well as new technology. He thinks CSEB bricks is better than Hollow concrete blocks and fired bricks, so he started his enterprise with the idea of introducing a new building material. "
Jeevan Adhikari,Gorkha,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.0044263,84.6288075,Male,Nov.17,01.11.17,2017,2018,Running,295000,118,,,29.5,29.5,29.5,29.5,,893.85,7,29,36,03.03.21,
Mahendra Pun,Rukum,Province 5,Lumbini Province,Entrepreneur,28.542751,82.4436373,Male,Dec.19,01.12.19,2019,2020,Running,80000,32,,,,,16,16,,242.4,7,32,39,03.03.21,Mahendra Pun is a social worker and runs his own grocery shop in his locality. He came to know about Build up Nepal through one of his cousin who was already involved in CSEB brick business. Mahendra has a good reach in the local government and is very influential and effective in getting the local government involved in his enterprise. He has the plans to expand his business after getting more involved in constructing the government buildings and other structures around Triveni Gaupalika.
Kuldip Sharma,Bardiya,Province 5,Lumbini Province,Entrepreneur,28.31634484,81.27630444,Male,Jan.20,01.01.20,2020,2021,Running,55000,22,,,,,11,11,,166.65,5,20,25,2/23/2021,"Kuldip decided to start his own enterprise with aim of being an independent, helping to create jobs and contribute to preserve environment. He is a motivated youth that felt uninspired in his previous job in local bank. Kuldip is planning to promote the Earth Brick technology around his local area Madhuban-8, Bardiya, helping families build disaster resistant, eco-friendly houses at low cost."
Kopila Thapa Magar,Chitwan,Province 3 - Bagmati,Bagmati Province,Husband wife,27.6728304,84.43271064,Male & Female,Jan.20,01.01.20,2020,2021,Running,20000,8,,,,,4,4,,60.6,4,5,9,2/27/2021,"Kopila comes from a educated family where all her kids are in to higher education. She is what can be described as an serial entrepreneur as she invested first in organic farming, followed by poultry business and then investing in the CSEB enterprise. She faced a lot of struggle initially to convince people and local engineers about the bricks but are doing well now. Her husband also helps in the business with sales and marketing."
Tapendra Shahi,Dailekh,Province 6 - Karnali,Karnali Province,Entrepreneur,28.9261863,81.647344,Male,Jul.20,01.07.20,2020,2021,Running,28000,11,,,,,5.5,5.5,,84.84,7,9,16,03.01.21,"Tapendra is a multi-dynamic guy involved in several sector for earning his living. He started his career as teacher. He also has worked as marketing officer in medical tools supplier company for few years. He started the interlocking brick factory with the aim to help locals to build better house at low cost, create local economic activities and jobs. The demand for bricks is amazingly growing up so he is planning to increase production capacity right after the festivals."
Niraj Gurung,Morang,Province 1,Province No. 1,Entrepreneur,26.65506899,87.39287741,Male,Jan.20,01.01.20,2020,2021,Running,10000,4,,,,,2,2,,30.3,4,3,7,03.03.21,"Niraj always aspired to be independent and defy limiting norms of what a young Nepali can do.  He recently returned from migrant work abroad.<br />
Niraj believes that CSEB Bricks is the best building material in rural areas and even urban areas of Nepal. When returning from abroad he wanted to live with his family and needed to be able to earn something in the village.<br />
He started his enterprise at the end of January 2020 and is producing well after that. We are impressed by his determination and his detailed research before deciding to start his enterprise.<br />
"
Sangita Shrestha,Nawalparasi,Province 4 - Gandaki,Gandaki Province,Husband wife,27.6785191,84.19039,Male & Female,Feb.20,01.02.20,2020,2021,Running,9000,4,,,,,2,2,,27.27,6,4,10,2/25/2021,"Sangita Shrestha runs this business with support from her husband. After initial struggle and the COVID lockdown, both of them were looking for buyers for their business. But after lockdown and the festival season, their business has picked up and they have now decided to keep their business and are working very hard to turn things around. We were able to find a few customers in their locality that helped them, and they have decided to keep running the business."
Sani Rai,Udayapur,Province 1,Province No. 1,Returning Migrant,26.8756661,86.9373716,Male,Feb.20,01.02.20,2020,2021,Running,90000,36,,,,,18,18,,272.7,6,29,35,2/25/2021,Sani Rai recently returned from migrant work in Malaysia. He first learned about Earth Bricks and build up Nepal via YouTube and Facebook when he was working in Malaysia. Returning to Nepal he was motivated to start an enterprise in his village to help his family and neighbors earn a better income and build better houses at lower cost. Sani is hopeful for the future and helping improving the living standards in his village.
Pitambar Sejwal,Arghakhanchi,Province 5,Lumbini Province,Entrepreneur,27.9650061,83.1434573,Male,Mar.20,01.03.20,2020,2021,Running,52000,21,,,,,10.5,10.5,,157.56,7,17,24,2/23/2021,"Pitambar Sejwal, a young entrepreneur who is very active in various social media platforms and is also the youth chairperson of Rotary Club, Sandhikharka decided to start his own CSEB business after sensing an opportunity in the government funded projects announced in 2019. With his presentation skills and influence, he was able to convince the local government to rebuild rebuilt after the hailstorm and landslide with his bricks. He continually works with the local level and other NGOs in the area to rebuilt the houses that are effected by landslide as it is a landslide prone area."
Mohan Rana,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Youth Entrepreneur,28.8372008,80.3213106,Male,Jul.20,01.07.20,2020,2021,Running,45000,18,,,,,9,9,,136.35,6,14,20,2/21/2021,Mohan Rana and Bhupendra Rana are young entrepreneurs. Bhupendra is a farmer and has his own Land in Kanj and Mohan is a shop owner of mobile and telecommunication in his village. They believe CSEB is the best and most cost effective method to build in their location and started the business together. 
Indra Kshedal,Doti,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.2604745,80.9318332,Male,Feb.20,01.02.20,2020,2021,Running,35000,14,,,,,7,7,1,106.05,7,15,22,2/21/2021,Indra Kshedal is a teacher and his partner Tulsi is a part time factory worker. Both have invested in the brick business and are doing really well. They have also supplied the bricks for two women cooperative group on a subsidized rate and supported the local government to build one health post in their area.
Bikram Bahadur Silwal,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.66963781,84.44464111,Male,Feb.20,01.02.20,2020,2021,Running,10000,4,,,,,2,2,,30.3,4,3,7,2/25/2021,"Tara Silwal and Mohan Shrestha became partners in 2018 for their agro farm business. Both of them decided to expand their business in 2020 and add CSEB to their services. They had to struggle a lot because of COVID lockdown and their trained staffs leaving. But they have been able to turn it around and hire new staffs, trained them again and are doing well."
Yagya Kumari karki,Sarlahi,Province 2,Province No. 2,Female Entrepreneur,27.1208017,85.735897,Female,Nov.19,01.11.19,2019,2020,Running,90000,36,,,,,18,18,,272.7,5,22,27,2/25/2021,"Yagya Kumari Karki was enjoying the retired life and was doing small household farming before son Lokendra Bahadur Karki wanted her help in staring this business. Yagya looks after the production while Lokendra looks after the marketing. Lokendra works as a high school teacher, so works only part time in the business and Yagya works full time."
Dambar Bahadur Shrestha,Chitwan,Province 3 - Bagmati,Bagmati Province,DAG - Disadvantaged Groups,27.674742,84.5320158,Male,Aug.19,01.08.19,2019,2020,Running,150000,60,,,,,30,30,2,454.5,5,37,42,2/27/2021,"Dambar Bahadur  Shrestha, 36 was working in the construction sector as a contractor. he sensed an opportunity with CSEB early on. After careful consideration, he started his factory of CSEB interlocking bricks and within 5 months was able to return the investment and add another machine to support the demand."
Samikchya Acharya Timilsina,Tanahu,Province 4 - Gandaki,Gandaki Province,Husband wife,28.0430105,84.0695961,Male & Female,Sep.19,01.09.19,2019,2020,Running,50000,20,,,,,10,10,,151.5,5,11,16,2/26/2021,"Samikchya was a successful owner of a Grocery shop on the highway. She and her husband added CSEB enterprise next to their shop. Samikchya looks after the production and core business while the husband Ramjee, does marketing and sales<br />
"
Ranjit Pandey,Rupandehi,Province 5,Lumbini Province,Entrepreneur,27.6264239,83.3789389,Male,Jul.19,01.07.19,2019,2020,Running,150000,60,,,,,30,30,,454.5,9,29,38,2/23/2021,Ranjit Pandey was already involved in Construction and after the massive earthquake in 2015 he was attracted by this technology. They are a team of 4 friends who started the enterprise together and have been doing very well since. 
Surat Saud,Bajura,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.36368887,81.30869313,Male,Nov.19,01.11.19,2019,2020,Struggling,20000,8,,,,,4,4,2,60.6,,6,6,2/21/2021,"Surat is a young and energetic entrepreneur who has started his enterprise in the remote village of Bajura. Since the red bricks are very expensive and the weather is favorable for Interlocking bricks, he decided to invest in the business. He is very content with the business and says that he has been able to return his investment in 8 months."
Dambar Bam/Bhim Chandra,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.7243938,80.8424646,Male,Aug.19,01.08.19,2019,2020,Running,150000,60,,,,,30,30,,454.5,6,31,37,2/21/2021,Dambar still runs a hollow concrete block factory from before and saw the opportunity in CSEB bricks. Since he already had the land and the man power needed it was easy to add CSEB bricks to his existing business.
Dipesh Majhi,Sindhuli,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.1747552,85.5817911,Male,Sep.19,01.09.19,2019,2020,Struggling,20000,8,,,,,4,4,,60.6,,7,7,2/27/2021,"Dipesh's Father Sher Bahadur Majhi worked as a contractor in Kathmandu and wanted to return back to Sindhuli and start his own business. Since he was already in the construction field, it was very easy for him to learn this new technology. Dipesh is also very interested in the business and wanted to support his father after completing his studies. He was supposed to graduate in 2020 and plans to take over the business from his dad, but COVID forced them to close the enterprise and have not been able to recover. <br />
"
Bhime Kumar Danuwar,Sindhuli,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.2568824,85.971322,Male,Sep.19,01.09.19,2019,2020,Closed / Sold,6000,2,,,,,2,,,18.18,,1,1,2/27/2021,"Bhime and Sumiran expanded their partnerships with mobile shops, Grill and steel works, Hardware shops and then into CSEB enterprise. After running successfully for over a year, Sumiran and Bhime parted ways in early 2020 but because of COVID and lockdown restrictions  have not been able to restart their CSEB enterprise. "
Ang Nigma Sherpa,Dolakha,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.63249317,86.22730056,Male,Apr.19,01.04.19,2019,2020,Running,18000,7,,,,,3.5,3.5,,54.54,7,3,10,2/26/2021,"Ang Nima Sherpa was working as a farmer in Jiri. After the local level elections, he was appointed as the ward member and decided to team up with more members in the ward and start a CSEB enterprise after coming to one of the community meetings arranged by Build Up Nepal. He started really well and are planning to start taking construction contracts in the future."
Rachana Shrestha,Dolakha,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.5697229,85.9812,Female,Apr.19,01.04.19,2019,2020,Running,50000,20,,,,,10,10,,151.5,9,8,17,2/27/2021,Rachana was working as a agro-trainer for the farmers in Sailung area of Dolakha. She did have a very good understanding of the market and the need for the new technology that could potentially replace fired bricks in her village since her location was very remote and fired brick are expensive. She and her family decided to do this as a family business with Rachana taking the lead in overall management and her dad and sister actively promoting these in various events/ fairs. Her mom is also actively involved in production side of the business. 
Dambar Thapa,Dailekh,Province 6 - Karnali,Karnali Province,Entrepreneur,28.8527045,81.5815776,Male,May.19,01.05.19,2019,2020,Running,31000,12,,,,,6,6,2,93.93,8,8,16,2/25/2021,"Dambar Thapa, a local politician who wanted to start his construction enterprise decided to go for CSEB as the bricks were ecofriendly and the supply for red bricks being very difficult in his area. He is now full time involved in the business and expects to get the CSEB approved in the district norms very soon in his area."
Ashok Chaudhary,Nawalparasi,Province 5,Lumbini Province,Returning Migrant,27.4622794,83.8128265,Male,Feb.19,01.02.19,2019,2020,Running,150000,60,,,,,30,30,2,454.5,6,26,32,2/25/2021,Ashok Chaudhary is a returning migrant who worked in Malasiya and Qatar before returning back to Nepal. He started with paper cup and plate making business that was profitable but very unstable. He asked the women in the house to take over the paper utensils business and explored more about CSEB interlocking bricks. He invested in a machine and soon turned into a contractor to carry out more serious construction work. Today he is the most respected CSEB contractor in the area and both making bricks himself and buying from other nearby entrepreneurs.  He returned his investment in less than 3 months and  has expanded geographically into other areas as well. 
Kamal Tamang,Lalitpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6015625,85.3652959,Male,Mar.19,01.03.19,2019,2020,Running,50000,20,,,,,10,10,,151.5,5,9,14,2/26/2021,"After seeing the success of his nephew, Kamal Tamang, who use to drive trucks decided to start Interlocking brick business in Pharphing, a town close to Kathmandu. He is really happy that he doesn’t have to be away from his family and struggle to earn and make ends meet. His CSEB business has allowed him to stay close to the family and make good money at the same time. In the beginning (during the reconstruction) his business expanded exponentially and since has done very well. Today his wife and daughter are also helping him in the enterprise while his son drives the truck. They are soon planning to sell their truck and add another machine somewhere in Kathmandu valley. <br />
"
Naren Rai,Morang,Province 1,Province No. 1,Returning Migrant,26.6799002,87.460397,Male,Mar.19,01.03.19,2019,2020,Running,30000,12,,,,,6,6,,90.9,4,8,12,03.01.21,"Naren was abroad and wanted to start something in his own country after coming back to Nepal. While away from home, he saw the videos on YouTube and contacted us to book the machine as soon as he returned homNaren was abroad and wanted to start something in his own country after coming back to Nepal. While away from home, he saw the videos on YouTube and contacted us to book the machine as soon as he returned home.<br />
"
Ram Kumar Chaudhary,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6198017,84.5746243,Male,Oct.19,01.10.19,2019,2020,"Running, Struggling",15000,6,,,,,3,3,,45.45,6,3,9,2/27/2021,Ram Kumar Chaudhary and his son Robin Chaudhary started producing CSEB  with an intent to expand their existing hollow concrete block factory. Ram started the factory in his early thirtys and after almost 10 years in the sector is a very well respected business man in the area. 
Sunil Shrestha,Kaski,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.1750842,84.0495246,Male,Jan.20,01.01.20,2020,2021,Running,28000,11,,,,,5.5,5.5,1,84.84,5,8,13,2/26/2021,"Sunil Shrestha partnered with his childhood friend Sabin to start CSEB interlocking business. Sabin, a software engineer by profession invested half the money and Sunil is investing his time and money. They have done really good in their area in a short span of time. Sabin is involved part time while Sunil is the one giving full time in the operation."
Ram Kaji Thapa,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.81074212,85.28645829,Male,Jan.19,01.01.19,2019,2020,Running,110000,44,,,,,22,22,1,333.3,0,17,17,03.01.21,
Khem Ghale,Lamjung,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.3263339,84.3993377,Male,Jan.20,01.01.20,2020,2021,Running,12000,5,,,,,2.5,2.5,,36.36,4,7,11,2/25/2021,Khem Ghale is a young and smart entrepreneur. His background is from agriculture and he works in different business for three years. He is happy to have started his CSEB enterprise because he says it is one of the best building material to build house in low-cost and earthquake resistant.
Gopal Lamichane,Lamjung,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.176763,84.4553483,Male,Feb.19,01.02.19,2019,2020,Running,25000,10,,,,,5,5,,75.75,1,4,5,2/25/2021,
Yekendra Bahadur Bogati,Achham,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.1074324,81.229853,Male,Jul.19,01.07.19,2019,2020,Running,35000,14,,,,,7,7,,106.05,6,7,13,2/21/2021,Yakendra Bahadur Bogati  was working as a government employee and found out about the CSEB enterprise from his network of engineers who were studying and making buildings using CSEB. He started his business on the side of his government job and has plans to expand when his son come of age to run the enterprise. 
Bhim Kumar Gurung,Gorkha,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.2297514,84.8723475,Male,Aug.19,01.08.19,2019,2020,Running,9000,4,,,,,2,2,,27.27,4,2,6,2/25/2021,Bhim started his CSEB enterprise after seeing huge demand for these bricks in the area. He was working in the road construction sector so had the idea of running a construction business. However he decided to sell the business after the COVID lockdown.
Swostika Panthi,Lamjung,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,28.09453761,84.50312313,Female,Aug.20,01.08.20,2020,2021,Running,145000,58,,,,,29,29,,439.35,7,45,52,2/25/2021,"Swastika Panthi Chiluwal, a reporter by profession wanted to start her interlocking business after sensing a huge opportunity with one of the NGO projects in her area. Swastika is being well supported by her father who looks after the production and has spent 20% in the business as a soft loan to his daughter. She decided to spend big on a hydraulic machine and secure an order of more than 40,000 bricks even before the start of her business. Swastika has been elected as the secretary of the Interlocking brick association of Gandaki province and plans to work closely to ensure that the association is doing well in the future."
Samir Kumar BC,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Returning Migrant,28.685244,80.621591,Male,Jul.20,01.07.20,2020,2021,Running,17000,7,,,,,3.5,3.5,,51.51,5,5,10,2/26/2021,Samir recently returned to Nepal from working as migrant worker abroad. His family is mainly active in agriculture which barely puts enough food on the table. He has some background within construction and wanted to expand in this area as he saw huge need and demand for new houses in his area. Samir was planning to do something in own country and not go for foreign employment anymore. He came to know about Earth Bricks from social media and his friends and relatives in Nepal. 
Susan Limbu,Kathmandu,Province 3 - Bagmati,Bagmati Province,Youth Entrepreneur,27.76642552,85.36349346,Male,Aug.20,01.08.20,2020,2021,Running,5000,2,,,,,1,1,,15.15,6,2,8,2/27/2021,4 youths started this enterprise together and are doing really well. They did visit a lot of companies and also went to India before deciding to start their enterprise in support of Build up Nepal.
Ana Bahadur Khadka,Myagdi,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.37110316,83.53917186,Male,Mar.20,01.03.20,2020,2021,Running,35000,14,,,,,7,7,,106.05,6,11,17,2/22/2021,"Ana and his friends visited Build up Nepal and got really excited about CSEB. Before buying the machine they started marketing in their area. After they had generated the demands for these bricks, they were able to get pre bookings from customers and started their production."
Arjun Aauji,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.7884468,80.610489,Male,Jul.20,01.07.20,2020,2021,Running,8000,3,,,,,1.5,1.5,,24.24,6,3,9,2/21/2021,"Arjun Auji is a middle class entrepreneur who works as a owner of a block and Pole factory. He previously sold concrete blocks poles nd paving blocks from his business. He wanted to expand his business in CSEB  and believe this technology have a very good market in his area.<br />
"
Sunil Bhomjan / Raj Kumar Waiba,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.3862267,85.2968279,Male,Mar.20,01.03.20,2020,2021,Running,10000,4,,,,,2,2,,30.3,6,3,9,2/27/2021,"Sunil use to run a small factory producing fired bricks and his partner Raj was a tractor driver. Both while exploring more options to start their enterprise, decided to invest in this business with equal stake. They have done well and in a very short time able to recover their investment. "
Raju Tuladhar,Udayapur,Province 1,Province No. 1,Entrepreneur,26.816496,87.0528762,Male,Mar.20,01.03.20,2020,2021,Running,3000,1,,,,,0.5,0.5,,9.09,4,1,5,03.04.21,
Taranee Prasad Yadav,Saptari,Province 2,Madhesh Province,Entrepreneur,26.6325551,86.7808809,Male,Mar.20,01.03.20,2020,2021,Running,2000,1,,,,,0.5,0.5,,6.06,4,1,5,2/25/2021,Tarnee Prasad Yadav is young and smart entrepreneur. He was interested to start a CSEB production after seeing that this was an opportunity to build houses fast and at low cost.
Raju Paudel,Kaski,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.2095831,83.9855674,Male,Jul.20,01.07.20,2020,2021,Running,4000,2,,,,,1,1,,12.12,3,1,4,2/25/2021,"Raju Paudel, 44, after a thoughtful consideration and looking at the progress made by Interlocking bricks in Nepal was keen to start his own production. Raju went abroad  as a construction worker first in Malaysia and then in Qatar. Upon returning, he wanted to stay in Nepal and start his own business. He decided to start CSEB business after seeing the success of some of the entrepreneurs in his local area of Pokhara."
Reconstruction of school building in Dunche,Rasuwa,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,28.11215259,85.30324047,Male,2016,2016,2016,2017,Project,15000,6,,6,,,,,1,45.45,,,0,,Construction of community school in Jyanglang
Tibet Relief Fund - reconstruction of school and houses for vulnerable,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.96416755,85.66766935,Male,2016,2016,2016,2017,Project,45000,14,,14,,,,,1,136.35,,,0,,"Reconstruction of school, healthpost and houses for vulnerable families in a very remote village"
Rebuild safe Nepal,Lalitpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.64030674,85.37594739,Male,2017,2017,2017,2018,Project,25000,10,,,10,,,,,75.75,,,0,,We work as technical partner to Kathmandu valley based social venture Rebuild Safe Nepal. We have provided machine and the local entrepreneurs will be starting rebuilding houses in the coming weeks!
Construction of agriculture collection center,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.1371456,84.6583745,Male,2016,2016,2016,2017,Project,3500,1.4,,1.4,,,,,,10.605,,,0,09.01.20,"Construction of an agriculture collection center in Mucchok, together with IM and Made Nepal along with masons training in CSEB construction. "
